phi ->;128;;;;;124;;;;;120;;;;;116;;;;;112;;;;;108;;;;;104;;;;;100;;;;;96;;;;;92;;;;;88;;;;;84;;;;;80;;;;;76;;;
theta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;63999,45;12575,25;11783,52;2886,55;;59984,09;11748,47;10868,92;2913,76;;62319,09;11507,39;10415,65;2732,53;;63475,28;11791,27;11418,88;2695,43;;63503,19;11702,59;10101;2773,79;;61486,98;11334,87;10879,57;2665,63;;59046;10879,78;11016,59;2111,67;;66226,56;10703,03;4004,64;1499,86;;64534,93;11926,99;11356,41;3008,93;;59116,9;10945,47;9633,61;2752,93;;62687,16;11696,35;11315,76;3193,65;;57043,46;10707,11;10278,31;2731,53;;62694,9;12018,96;11868,06;3111,41;;53451,66;10594,34;10021,79;2569,52
2;59913,09;11326,6;10589,18;2623,77;;61466,07;11542,85;11037,49;2509,28;;61137,57;11653,49;11414,25;2417,2;;61484,32;11488,87;11274,37;2397,12;;59789,85;11556,2;12552,52;2260,38;;60273,8;11233,29;10516,38;2004,65;;58981,95;10785,27;9336,01;2038,53;;64799,53;10684,64;3280,12;920,73;;63705,65;11798,24;11870,77;2273,3;;57426,69;10557,38;9982,42;1934,11;;63406,08;11930,27;11970,46;2536,54;;52568,09;9691,35;9682,12;2110,73;;64584,31;11860,64;11579,14;2885,84;;54064,14;10056,58;9952,21;2272,41
4;58356,75;10818,8;10086,83;2106,11;;60565,65;11477,46;10729,53;2082,72;;58300,34;11899,13;9630,52;2018,55;;58159,4;11420,72;9095,35;2319,29;;56072,94;11833,82;10219,52;2480,24;;55467,04;11319,65;8797,64;2437,99;;52529,28;11702,19;9115,97;2431,68;;57943,12;11305,31;3488,45;1647,36;;54789,72;11089,55;8569,22;2407,78;;53554,6;10542,59;7998,82;2252,39;;62037,18;11813,58;9767,25;2237,88;;51408,94;9859,42;7530,79;1981,74;;63468,66;11990,13;10795,33;2045,56;;52986,46;9963,3;9045,94;1814,24
6;54252,68;11407,55;8355,66;1901,54;;56347,38;11929,05;9219,83;1849,14;;52952,61;12169,62;8725,82;2217,34;;52472,92;12019,57;8270,6;2278,99;;53576,54;12241,65;7515,06;2222,9;;51092,99;11943,61;8280,87;2129,71;;49634,4;11303,77;7797,61;2104,71;;52949,82;11132,74;3827,12;1174,45;;47046,66;10897,77;8185,05;1981,01;;47186,02;10784,08;8138,36;2117,37;;48359,62;10757,07;8262,13;2253,86;;45411,19;10087,19;7701,27;1979,66;;50435,54;10812,41;8662,51;2154,76;;48061,02;10405,91;8024,47;2038,53
8;48483,27;11666,52;7872,65;1969,84;;51322,85;12028,93;7811,68;2149,05;;48016,43;12428,15;9445,82;1833,52;;48332,94;12163,79;8438,52;2036,74;;47675,88;12355,92;9066,42;2159,79;;46300,7;12182,96;8793,46;2115,54;;45639,76;11409,71;7723,44;2032,91;;48891,27;11751,97;4255,43;924,84;;42854,65;11155,17;8558,17;1665,81;;43687,53;11118,88;7794,68;1738,72;;45142,79;10516,11;7227,59;1949,15;;42199,49;10390,75;6934,52;1802,74;;45380,43;11209,5;8062,95;1813,79;;43718,69;10659,22;6986,56;1834,62
10;43936,54;11954,35;7302,48;1863,59;;45892,72;12036,76;8138,29;2023,07;;44478;12563,71;8758,08;2238,77;;43929,92;12449,12;8775,69;2328,76;;45930,64;12462,96;7574,99;2254,55;;44385,59;12011,93;7920,81;2340,59;;43282,62;11924,13;7807,74;2302,65;;47248,71;11514,05;3687,38;1430,63;;41417,23;10952,8;7331,81;2057,43;;41146,35;10978,97;7526,78;2063,04;;40592,07;11035,2;8053,8;1988,23;;38023,76;10306,01;7313,28;1817,22;;40262,6;11029,7;8123,76;1839,11;;38614,35;10822,25;7312,41;1866,1
12;39381,95;12117,89;8065;2213,18;;42305,5;12426,18;8252,17;2319,03;;43705,47;12572,75;8488,99;2254,3;;42894,63;12396,21;8390,34;2135,24;;44873,82;12671,25;7688,06;1962,79;;43165,34;12348,87;8431,73;2317,33;;41784,74;11864,36;8723,66;2162,65;;46238,78;11282,83;4283,09;1342,99;;40171,85;10917,83;7724,96;2420,32;;39959,55;10765,19;7039,23;2392,16;;39503,17;11248,88;7799,6;2197,73;;37207,92;10452,79;6987,1;1960,6;;39054,06;11528,71;7815,57;2149,85;;36635,46;11008,04;7641,58;1951,47
14;39899,8;12379,83;8030,18;2270,48;;42849,15;12600,17;7896,41;2240,07;;44303,19;12705,77;8224,56;2405,32;;43127,54;12445,16;8775,01;2374,38;;44603,98;12469,02;9115,01;2390,93;;43987,35;11915,4;8936,96;2469,59;;43289,3;11853,9;8239,42;2601,48;;47381,19;11366,56;4160,51;1657,04;;40336,21;11078,53;8235,82;2345,15;;39232,63;10947,07;7920,63;2323,04;;39437,56;11166,82;7863,42;2217,9;;36726,48;10862,96;7455,71;2108,35;;39401,47;11188,78;7308,7;2228,05;;37732,03;11081,65;7085,44;1977,52
16;40682,95;12270,06;8033,3;2461,94;;42170,54;12392,14;8772,71;2433,83;;44844,58;12953,28;8991,49;2382,49;;44523,54;12668,83;8885,63;2327,1;;45610,3;12324,69;9850,65;2299,2;;46182,95;12050,87;9380,13;2390,35;;45149,29;11865,17;9960,05;2551,91;;50927,81;11360,55;5458,22;1365,73;;41411,25;11179,07;10044,05;2724,98;;39948,98;10803,63;9345,44;2577,72;;39680,99;11204,76;8459,34;2553,45;;37114,49;10899,67;8036,29;2253,88;;39473,79;11587,14;8473,73;2144,32;;38441,28;11038,49;7682,58;2174,55
18;42670,5;12185,23;8459,33;2416,5;;43945,3;12669,86;8620,12;2297,68;;46210,13;13172,06;7678,88;2478,25;;45890,53;12344,72;8195,44;2154,51;;48816,47;12417,71;8199,33;2310,25;;49202,62;12109,37;8848,61;2250,54;;49823,73;11790,13;8713,93;2204,12;;55988,79;11465,27;3578,65;1154,1;;47502,27;10862,3;8677,3;1978,7;;45191,76;10655,67;8415,1;1956,01;;42152,97;10943,88;9299,92;2145,97;;39224,6;10753,93;8195,75;1887,97;;40976,29;11274,14;8272,39;2169,3;;40157,42;11184,68;7505,34;1956,51
20;43968,76;12302,63;8182,89;2254,53;;44971,14;12853,9;7754,82;2317,61;;44688;13295,65;8450,21;2358,9;;45054,98;12444,17;7953,53;2152,32;;48863,94;12601,38;7686,09;1930,81;;48560,1;12428,4;8352,03;2102,23;;49520,85;11806,98;7932,72;2404,06;;55130,62;11320,22;2816,07;1587,15;;47510,92;10790,53;8451,88;2186,9;;45408,69;10874,38;8062,16;2255,52;;45117,33;11079;7891,9;2220,17;;40741,4;10788,21;7685,8;2095,23;;42750,87;11369,93;7201,47;2318,57;;40350,18;10976,63;7248,42;2075,35
22;43924,35;12148,84;7637,1;2217,79;;44512,11;13101,3;8168,07;2303,73;;43939,37;13364,06;8186,53;2467,92;;43714,62;13032,05;7543,56;2439,32;;47049,06;13093,29;7292,73;2114,87;;46809,37;12482,78;7491,44;2201,28;;46687,81;12247,41;8144,39;1975,52;;51847,2;11983,07;3371,26;1098,04;;46098,43;11432,41;8370,34;2007,16;;44491,54;10738,19;7346,27;2015,75;;44665,62;11531,72;7570,43;2268,18;;41075,56;10766,21;6788,03;1934,75;;42193,94;11816,78;7201,73;2096,96;;39159,38;11381,36;7471,26;1708,83
24;43101,06;12330,81;7709,37;2171,41;;43316,28;13213,72;8306,7;2410,55;;42503,91;13499,81;9025,64;2701,48;;41080,86;13217,95;8276,08;2398,17;;44827,87;13519,26;6877,92;2311,05;;43855,05;12980,73;7841,51;2279,34;;43106,51;12703,41;8380,7;1953,35;;47784,88;12018,36;4190,02;1330,7;;43123,32;11667,83;7944,95;2129,74;;41221,04;11211,5;7336,18;2114,53;;42719,13;11541,87;7085,38;1928,08;;39238,04;11075,73;6529,11;1897,79;;41146,29;11809,76;6780,07;2014,31;;38659,86;11536,37;6424,33;2002,32
26;42450,98;12800,65;8107,38;2073,9;;43435,68;13414,22;8590,97;2419,91;;43805,58;13835,51;9225,23;1982,66;;41427,14;13445,18;7659,12;2371,51;;41486,53;13420,07;7801,79;2343,17;;41543,22;13072,48;7648,72;1991,36;;42075,9;12779,53;7701,66;2169,25;;46720,08;12469,04;4181,87;1382,2;;41540,23;11952,78;7647,39;2452,87;;38672,04;11422,58;7771,94;2155,01;;39482,62;11765,28;7331,74;2119,77;;36268,29;11267,29;7131,22;1775,5;;39014,53;12028,58;7210,63;2023,73;;37409,82;12071,29;7203,66;2021,9
28;42490,84;12987,74;7176,23;2156,73;;44247,57;13469,35;7956,69;2010,04;;45083,28;14180,55;7962,34;2301,18;;41420,05;13647,79;7990,13;2369,31;;42222,58;13766,17;6290,18;2354,69;;39799,37;13394,78;8069,61;2177,58;;41164,64;12883,55;8593,56;2214,09;;47400,7;12530,2;4487,11;1265,4;;41104,17;11911,73;8529,63;2268,61;;38222,1;11595,71;8307,5;2138,79;;38009;12023,95;7154,09;2260,66;;34916,15;11767,46;7216,08;2040,96;;37810,65;12450,95;7909,84;1923,91;;37872,99;11780,08;7097,69;1882,46
30;40436,68;13191,32;7048,2;2166,22;;43301,55;13875,15;7334,6;2159,57;;43934,35;14170,65;7550,04;2326,82;;41920,1;13764,66;7493,06;2243,58;;41237,25;13879,57;7420,47;2153,87;;40372,53;13753,3;7999,73;2131,07;;42304,81;13149,02;8400,22;2345,37;;49089,85;12751,96;4143,21;1346,19;;42648,1;12308,85;8668,35;2128,33;;39125,86;12064,75;8419,32;2081,24;;37635,03;12587,85;8101,01;2131,82;;35340,74;12130,53;7024,54;2053,92;;38357,77;12518,14;7434,52;2098,98;;38243,7;12194,43;6492,01;2134,66
32;38484,18;13524,75;7581,01;1889,5;;40258,32;14160;8243,31;1990,33;;41211,99;14691,13;7966,02;2227,66;;40571,73;13959,53;7355,8;2403,48;;41929,05;13999,23;6270,02;2462,23;;40360,71;13919,17;7833,16;2365,99;;43244,52;13283,37;7892,4;2262,13;;50309,35;13334,1;3664,83;1496,18;;44401,57;12491,78;8438,45;2036;;40824,3;11885,48;7674,63;2048,45;;38525,95;12358,31;7945,26;2116,2;;35872,1;11920,01;6946,57;2087,16;;38544,22;12862,19;6985,49;2117,68;;37399,52;12284;6548,19;2053,88
34;38061,22;13809,51;6699,43;2026,12;;39390,11;14502,64;7215,51;2249,57;;39962,71;15131,16;8158,61;2631,26;;39571,86;14582,1;7967;2470,37;;40076,69;14840,65;8437,1;2463,82;;40344,73;14242,62;7674,55;2341,15;;42772,25;13562,64;7799,33;1969,98;;49244,1;13377,21;3350,93;1280,35;;44089,22;12730,18;8133,29;2248,84;;41030,22;12120,83;7565,58;2187,35;;39564,04;13012,67;7433,89;2245,79;;36260,57;12293,12;6964,48;1967,81;;37723,83;13006,09;6994,48;2173,83;;36376,11;12857;6541,08;2227
36;37212,03;14043,91;6782,2;2487,71;;38649,48;14859,34;7722,89;2750,59;;42112,94;15194,06;7826,23;2508,17;;40714,43;14716,06;7694,51;2274,58;;41458,57;14898,96;7079,31;2212,08;;39964,63;14871,41;7033,53;2020,2;;41834,41;14025,6;6862,3;2060,71;;47038,34;13794,35;3108,51;1212,61;;42882,03;13031,44;7438,68;2045,23;;40138,41;12650,72;6920,73;1933,5;;39534,22;12682,11;6547,99;2142,84;;36553,51;12403,56;6418,24;1870,61;;37395,12;13466,13;7308,05;1919,5;;35680,64;12800,31;7021,13;2036,23
38;37774,91;14740,5;7074,7;1872,23;;40642,04;14933,72;7504,76;2011,2;;43275,54;15328,44;6884,84;2265,11;;40690,16;15132,91;7346,94;2085,08;;41907,12;15290,67;5121,66;2144,79;;38111,79;15358,99;6440,26;2115,64;;39234,66;14656,94;6801,22;2012,69;;44049,23;13920,71;3447,24;1374,12;;39979,87;13629,15;7664,94;2330,32;;37455,86;12679,24;7229,15;2146,99;;37772,82;13526,15;6610,88;2032,88;;35783,22;12651,93;5916,41;1889,58;;38073,04;13691,7;5945,91;2026,33;;36504,45;13291,64;6591,22;1809,74
40;37914,84;15070,72;6452,47;2518,85;;40188,4;15489,88;7463,22;2085,04;;40606,23;15946,33;7359,69;2519,46;;38716,29;15464,37;6452,7;2393,19;;38090,25;15825,69;6103,54;2132,83;;35640,14;15725,48;6177,16;2083,25;;36439,32;15356,43;6536,21;2044,85;;42265,93;14630,8;3093,52;1282,12;;39067,86;13677,73;6688,91;2135,95;;36231,46;13232,17;6630,86;2032,25;;35764,81;13657,19;6285,68;2060,73;;33554,21;13266,64;5568,88;1876,09;;35874,32;14187,79;6125,5;1999,61;;35863,63;13753,97;5784,11;1919,65
42;37371,4;15323;6648,79;2519,54;;39391,05;15932,76;7048,3;2484,54;;39307,89;16517,75;6868,86;2301,42;;35369,27;16079,59;7219,57;2200,27;;35173;16645,44;6135,4;2354,1;;32429,27;16439,9;6774,25;2405,97;;34189,74;15774,43;5954,84;2197,39;;39191,4;15260,79;3454,6;1298,01;;37052,01;14125,03;6737,03;2033,78;;34334,37;13782,32;6672,35;1911,35;;33598,22;14398,54;6287,91;1983,26;;30748,83;13761,13;5847,28;1724,59;;32768,88;14703,98;6107,49;1815,15;;32722,96;14312,4;5896,77;1891,82
44;36543;15848,73;7794,56;2068,38;;37823,02;16624,37;7412,78;2139,97;;37515,54;17138,34;7041,34;2273,19;;34366,81;16452,77;7073,54;2201,84;;34334,67;16851,66;6837,58;2444,34;;32593,63;17076,59;7089,57;2382,59;;32007,71;16349,1;6369,95;2352,91;;37625,31;15588,18;2786,03;1545,29;;35734,95;14758,42;6167,34;2010,97;;33680,02;14843,3;6082,12;1807,54;;31784,28;14708,35;5674,39;1937,41;;29071,65;14455,71;5982,43;1758,28;;29782,21;15141,7;6612,94;2221,46;;29548,76;14850,73;6838,91;1958,39
46;38134,65;16150,62;7100,7;2189,67;;37766,88;16799,46;7128,77;2283,59;;37098,99;17859,4;6998,61;2247,01;;34756,7;17291,16;6898,05;2415,59;;36267,81;17327,91;6536,84;2601,76;;32989,53;17148,72;7857,77;2450,18;;31787,49;16699,06;6804,39;2089,92;;35798,65;15807,76;3096,18;1773,55;;32900,19;15394,56;6600,07;1999,87;;30989,04;15259,3;6713,85;1925,6;;30148,75;15323,71;5891,06;2288,5;;28738,82;14509,09;5927,98;2081,35;;30608,64;15682,66;6665,23;2114,27;;30134,41;15074,16;6555,53;2122,94
48;37857,36;16490,06;6721,19;2262,08;;36971,6;17583,47;6995,2;2214,22;;35839,68;18326,7;6901,49;2401,91;;35281,09;17433,72;6892,44;2336,41;;39874,89;17799,33;6065,64;2205,48;;36327,03;17392,36;7131,05;2301,15;;32634,21;17045,81;7027,2;2242,43;;35212,22;16723,55;3835,21;1409,72;;31306,34;15853,58;6057,27;2371,41;;30734,84;15577,13;6240,55;2213,69;;29871,03;15575,4;6225,3;2171,53;;29779,23;15054,54;6199,64;2089,05;;31858,02;16037,02;7279,31;2374,22;;31395,14;15044,54;6561,2;2274,45
50;36379,02;17310,06;6036,15;2035,24;;35647,17;17848,04;6502,7;2230,95;;34854,46;19108,97;6407,36;2252,58;;35263,17;18343,68;6444,19;2207,17;;38242,32;18285,25;6968,8;2100,98;;37508,61;17937,67;6507,8;2151,21;;33789,57;17483,7;6538,2;2149,63;;37446,87;16812,97;3418,99;1673,81;;30968,69;16183,92;7950,14;2256,26;;30950,28;16224,65;7778,93;2436,63;;30672,33;16016,2;6519,42;2192,6;;31563,89;15314,83;5691,31;1991,66;;35361,36;15912,27;6271,1;2198,76;;33338,97;15733,28;6093,4;2014,24
52;32773,32;17954,35;6532,54;2153,12;;33511,93;18911,64;6714,99;2358,96;;33505,54;19549,45;5988,3;2562,35;;34018,66;19082,28;5605,08;2165,11;;37375,53;18879,25;5205,56;2277,06;;35702,43;18591,01;5958,61;2004,47;;33957,6;17943,3;6187,15;2191,64;;38915,85;17056,36;3736,22;1334,88;;34574,71;16710,67;7380,62;2229,78;;33986,76;16443,59;7084,49;2260,83;;32086,75;16628,27;6693,55;2258,53;;31378,2;15876,81;5713,15;1987,22;;34999,44;16757,65;6066,1;1942,94;;32484,42;16443,37;5956,7;1815,67
54;31247,37;18664,95;7013,92;1765,97;;32554,5;19252,79;6870,21;2175,69;;31620,78;20389,39;6382,74;2302,87;;30739,8;19890,53;6097,15;2122,64;;32809,17;20008,8;5343,88;1988,14;;32178,26;19617,61;5422,19;2097,97;;32509,27;19080,14;6552,59;1853,52;;39926,91;17943,36;3023,84;1367,3;;36730,01;17420,78;6981,7;2235,47;;35303,7;16856,82;6807,79;2173,67;;32407,55;17003,33;6614,45;1981,16;;30204,11;16338,12;5449,72;1906,84;;32814,81;17277,71;5587,62;1807,13;;30656,77;16889,62;5294,99;1706,44
56;31252,86;19286;5768,95;1944,69;;32593,9;19951,66;5965,52;2242,92;;30001,02;21274,19;6176,16;2340,78;;28162,21;20472,76;6077,55;2071,03;;27009,6;20788,37;6892,96;2157,71;;28337,54;20545,76;5793,46;2146,16;;30370,62;19641,92;6100,35;1965,43;;37900,2;18533,97;2223,6;1477,87;;36233,06;17555,63;6575,05;2010,04;;35281,58;17291,1;6037,41;2023,47;;31717,54;17602,56;6312,65;1749,43;;27768,69;17130,27;5433,79;1786,7;;28998,62;18103,66;5187,67;1863,94;;27562,8;17787,78;4935,01;1879,57
58;29611,33;20309,49;5753,09;2043,6;;31612,16;20574,12;5607,25;2169,73;;29864,4;21974,43;5574,2;2169,46;;27361,76;21297,64;5184,61;2260,61;;27127,56;21706,28;5203,62;2229,97;;26885,15;21283,37;5707,75;2297,26;;28377,27;20183,55;5271,67;2156,35;;34029,89;19405,87;2294,22;1435,32;;33337,82;18723;6024,54;1863,35;;31742,19;18371,35;5768,2;1767,8;;30689,44;18212,96;4974,8;2037,94;;25605,28;17998,68;5103,7;1904,37;;25479,93;20103,01;24825,43;7172,64;;24919,02;18717,38;5054,84;1883,52
60;27513,22;20846,8;5402,1;1846,32;;30076,83;21811,67;5052,55;2104,42;;28461,33;22870,09;5380,28;2218,62;;26435,3;22188,6;5440,63;2155,27;;26845,34;22249,43;5609,08;2319,13;;27209,39;22003,22;5648,61;2228,06;;26539,28;21401,1;5412,19;1981,08;;31110,2;20354,99;2444,66;1251,65;;30634,84;19245,38;5179,79;1834,11;;28734;18689,29;5000,45;1866,72;;27441,24;19121,88;5331,14;1822,29;;24578,07;18549,88;5044,58;1840,55;;24556,98;20122,27;5413,83;2043,59;;23550,15;19478,9;5188,74;1919,33
62;25579,15;21579,31;4888,05;2148,06;;27397,11;22564,37;4864,4;2123,28;;26642,45;23757,94;5321,27;2166,05;;25962,58;22918,85;5407,84;2269,65;;28797,19;22994,6;4278,3;1980,8;;27018,17;22332,73;5499,41;2008,68;;25045,48;22026,87;4837,55;2093,79;;27452,87;21115,46;2767,93;1173,95;;26795,04;19984,72;4733,87;1781,41;;25489,25;19821,04;4747,36;1659,64;;25118,96;20036,44;5142,03;1661,2;;24048,87;19203,87;4678,11;1761,89;;24890,46;20445,8;5107,74;1981,77;;23536,57;19890,32;5019,61;1892,68
64;23957,79;22642,95;4937,68;2087,61;;25557,78;23447,5;4923,01;2024,37;;24763,72;24798,66;5371,25;1988,74;;25677,15;23657,22;5309,73;2055,03;;28221,39;23975,69;4454,74;1961,91;;25918,99;23627,25;5051,65;1995,44;;22923,82;22920,46;4483,27;1867,81;;24821,35;22158,5;2072,61;1349,02;;23309,86;21124,08;4463,74;1806,11;;22095,45;20348,6;4388,04;1754,58;;23196,77;20476,63;4293,57;1773,64;;22538,49;20025,19;4379,79;1816,45;;25145,3;21258,32;4555,88;1901,83;;23518,35;20365,57;4978,79;1938,99
66;22973,89;23482,08;4640,46;1711,2;;23319,36;24347,86;4969,47;1807,08;;23456,26;25409,14;4703,29;2098,76;;24365,48;24582,59;5067,94;2031,23;;24177,14;25472,88;5932,36;2024,86;;23509,3;24537,64;4498,94;1976,2;;20361,27;23713,41;3945,68;1731,52;;22141,51;22865,87;1978,74;1292,19;;20496,12;22184,22;4740,69;1697,75;;19386,14;21383,98;4357,19;1638,28;;20847,72;21775,02;3667,52;1842,3;;21100,01;20672,35;3519,92;1669,24;;24039,28;22139,42;4223,69;1877,53;;23189,32;21357,19;4814,75;1666,94
68;21246;24215,48;4330,57;1723;;21715,53;25249,97;4242,54;1741,72;;22352,43;26462,5;4481,06;2021,16;;23812,83;25631,03;4000,54;2001,23;;24912,71;25858,78;3233,38;1654,84;;21003,43;25503,2;4388,03;1732,77;;18198,98;24692,61;3952,79;1695,85;;20306,97;23838,7;1995,14;1125,75;;19755,12;22836,02;4013,66;1589,23;;18429,01;21947,02;3808,18;1637,08;;17761,23;22625,07;4323,38;1590,86;;18447,49;21703,4;3607,31;1505,91;;21800,13;23020,98;4009,22;1682,71;;21889,33;22262,16;4195,53;1626,75
70;19534,23;24966,48;3746,41;1715,58;;19612,41;26117,99;4178,71;1683,71;;20548,72;27416,03;4046,45;1815,23;;20750,53;26390,27;4400,82;1657,73;;20276,77;26816,41;4114,35;1704,09;;18598,14;26111,58;3583,53;1723,6;;16502,52;25493,71;3493,67;1572,78;;18145,85;24292,85;1815,72;1299,72;;18018,43;23465,39;3290,07;1603,18;;16894,68;22660,26;3411,34;1520,01;;16807,75;23190,73;3304,34;1526,84;;15965,92;22504,67;3526,66;1413,84;;19073,07;23894,61;4081,27;1536,75;;19992,42;23080,1;3751,54;1498,24
